session_id;session_title;first_speaker;track;session_type;experience_Level;session_abstract
1504629185697001g7bJ;Serverless @ Oracle;<b>NOTE: THIS IS A BRING YOUR OWN LAPTOP HANDS-ON LAB.</b><br><br>Serverless computing platforms free developers from the need to manage and maintain compute infrastructure and are increasingly popular. Who wouldn't want a way to deploy code and let the platform take care of all the compute and network issues and scale automatically? In this session learn about the latest advances in serverless from Oracle.Lab Requirements may be found here: https://static.rainfocus.com/oracle/oow17/ses/Attendee_BYOL_lab_Set_Ups_OOW17.pdf;Owen Cliffe;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;HOL (Hands-on Lab) Session;Introductory;<b>NOTE: THIS IS A BRING YOUR OWN LAPTOP HANDS-ON LAB.</b><br><br>Serverless computing platforms free developers from the need to manage and maintain compute infrastructure and are increasingly popular. Who wouldn't want a way to deploy code and let the platform take care of all the compute and network issues and scale automatically? In this session learn about the latest advances in serverless from Oracle.Lab Requirements may be found here: https://static.rainfocus.com/oracle/oow17/ses/Attendee_BYOL_lab_Set_Ups_OOW17.pdf
1503326728479001v3uc;Create and Deploy Java Microservices with MicroProfile and Kubernetes;With today’s fast-paced development standards, utilizing the latest container technologies and robust DevOps practices is paramount to success. Although Java has firmly planted itself as the leader in enterprise development, it’s undergoing an evolution to fit in with these latest tools and development methodologies. MicroProfile, an open source platform that optimizes enterprise Java for microservices, is the next step of this evolution. In this hands-on lab, you’ll learn how easy it is to develop a Java-based microservices application with MicroProfile and then deploy it to a Kubernetes cluster. ;Sai Vennam;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;HOL (Hands-on Lab) Session;Advanced;With today’s fast-paced development standards, utilizing the latest container technologies and robust DevOps practices is paramount to success. Although Java has firmly planted itself as the leader in enterprise development, it’s undergoing an evolution to fit in with these latest tools and development methodologies. MicroProfile, an open source platform that optimizes enterprise Java for microservices, is the next step of this evolution. In this hands-on lab, you’ll learn how easy it is to develop a Java-based microservices application with MicroProfile and then deploy it to a Kubernetes cluster. 
1504735132067001aXMp;Hands-on Lab: Docker 101;<b>NOTE: THIS IS A BRING YOUR OWN LAPTOP HANDS-ON LAB.</b><br><br>If you are just getting started learning about Docker and want to get up to speed, this is the lab for you. Come learn Docker basics including running containers, building images, and basics on networking, orchestration, security, and volumes.Lab Requirements may be found here: https://static.rainfocus.com/oracle/oow17/ses/Attendee_BYOL_lab_Set_Ups_OOW17.pdf;Dennis Foley;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;HOL (Hands-on Lab) Session;Intermediate;<b>NOTE: THIS IS A BRING YOUR OWN LAPTOP HANDS-ON LAB.</b><br><br>If you are just getting started learning about Docker and want to get up to speed, this is the lab for you. Come learn Docker basics including running containers, building images, and basics on networking, orchestration, security, and volumes.Lab Requirements may be found here: https://static.rainfocus.com/oracle/oow17/ses/Attendee_BYOL_lab_Set_Ups_OOW17.pdf
1504295142852001QV78;Hands-on Lab: Get Started on Oracle Cloud - Java Apps with Containers and DevOps;<b>NOTE: THIS IS A BRING YOUR OWN LAPTOP HANDS-ON LAB.</b><br><br>Take the first step in using Oracle Cloud services in your development process. In this hands-on lab take a locally developed application and use a trial Oracle Cloud Service account to deploy it to the cloud. Attendees are guided through automating the build and deployment process using Oracle Developer Cloud Service and Oracle Application Container Cloud Service.Lab Requirements may be found here: https://static.rainfocus.com/oracle/oow17/ses/Attendee_BYOL_lab_Set_Ups_OOW17.pdf;Susan Jang;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;HOL (Hands-on Lab) Session;;<b>NOTE: THIS IS A BRING YOUR OWN LAPTOP HANDS-ON LAB.</b><br><br>Take the first step in using Oracle Cloud services in your development process. In this hands-on lab take a locally developed application and use a trial Oracle Cloud Service account to deploy it to the cloud. Attendees are guided through automating the build and deployment process using Oracle Developer Cloud Service and Oracle Application Container Cloud Service.Lab Requirements may be found here: https://static.rainfocus.com/oracle/oow17/ses/Attendee_BYOL_lab_Set_Ups_OOW17.pdf
1504101843284001eyBI;Introduction to Reactive Systems;In this two-hour workshop, IBM and Lightbend are teaming up to introduce you to developing reactive microservices on Kubernetes. Lagom is a microservice framework built atop Lightbend’s tried-and-proven distributed systems toolkit, Akka. This framework helps you build microservices as systems—reactive systems, to be precise—so that your microservices are elastic and resilient by nature. The reactive programming model aims to ensure systems availability and performance while processing streaming data. You will use Lagom’s development environment to avoid tedious setup and scripting when developing locally and will deploy your application to a Kubernetes cluster, so others in the workshop (and at JavaOne) can test out what you built.;Erin Schnabel;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;HOL (Hands-on Lab) Session;Advanced;In this two-hour workshop, IBM and Lightbend are teaming up to introduce you to developing reactive microservices on Kubernetes. Lagom is a microservice framework built atop Lightbend’s tried-and-proven distributed systems toolkit, Akka. This framework helps you build microservices as systems—reactive systems, to be precise—so that your microservices are elastic and resilient by nature. The reactive programming model aims to ensure systems availability and performance while processing streaming data. You will use Lagom’s development environment to avoid tedious setup and scripting when developing locally and will deploy your application to a Kubernetes cluster, so others in the workshop (and at JavaOne) can test out what you built.
1504718109282001wBcK;Build, Test, Deploy, Operate: A Four-Step Docker, Kubernetes, Java Tutorial;<b>NOTE: THIS IS A BRING YOUR OWN LAPTOP HANDS-ON LAB.</b><br><br>Join the Wercker + Oracle team in this hands-on lab, and learn how to build and deploy a Java application in four easy, entirely automated steps with Docker, Kubernetes, and Java. This session is BYOL (bring your own laptop).Lab Requirements may be found here: https://static.rainfocus.com/oracle/oow17/ses/Attendee_BYOL_lab_Set_Ups_OOW17.pdf;Micha Hernandez van Leuffen;Java, Cloud, and Server-Side Development;HOL (Hands-on Lab) Session;Introductory;<b>NOTE: THIS IS A BRING YOUR OWN LAPTOP HANDS-ON LAB.</b><br><br>Join the Wercker + Oracle team in this hands-on lab, and learn how to build and deploy a Java application in four easy, entirely automated steps with Docker, Kubernetes, and Java. This session is BYOL (bring your own laptop).Lab Requirements may be found here: https://static.rainfocus.com/oracle/oow17/ses/Attendee_BYOL_lab_Set_Ups_OOW17.pdf
1504036175855001c2W1;Docker, Kubernetes, and OpenShift for Java Developers;This lab prepares web and application developers to build applications with containers, Kubernetes, and OpenShift. It starts with a short introduction to containers and Kubernetes, which are the foundation of OpenShift. Hands-on exercises walk you through a variety of applications and use cases for OpenShift. How about seeing how easy it can be to deploy your prebuilt containers? And how health checks to OpenShift can heal your application? We’ll dig into build containers, using just a Git repository. Want to see easy application scaling? No problem. Wish you could do A/B deployment? Your wish is our command. And finally, you’ll see a complete microservice application with database and polyglot back-end services.;Grant Shipley;Java, Cloud, and Server-Side Development;HOL (Hands-on Lab) Session;Introductory;This lab prepares web and application developers to build applications with containers, Kubernetes, and OpenShift. It starts with a short introduction to containers and Kubernetes, which are the foundation of OpenShift. Hands-on exercises walk you through a variety of applications and use cases for OpenShift. How about seeing how easy it can be to deploy your prebuilt containers? And how health checks to OpenShift can heal your application? We’ll dig into build containers, using just a Git repository. Want to see easy application scaling? No problem. Wish you could do A/B deployment? Your wish is our command. And finally, you’ll see a complete microservice application with database and polyglot back-end services.
1504239836395001OzIm;Get Started on Oracle Cloud: Java Apps with Containers and DevOps;<b>NOTE: THIS IS A BRING YOUR OWN LAPTOP HANDS-ON LAB.</b><br><br>Take the first step in using Oracle Cloud services in your development process. In this hands-on lab take a locally developed application and use a trial Oracle Cloud Service account to deploy it to the cloud. Attendees are guided through automating the build and deployment process using Oracle Developer Cloud Service and Oracle Application Container Cloud.Lab Requirements may be found here: https://static.rainfocus.com/oracle/oow17/ses/Attendee_BYOL_lab_Set_Ups_OOW17.pdf;Susan Jang;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;HOL (Hands-on Lab) Session;Intermediate;<b>NOTE: THIS IS A BRING YOUR OWN LAPTOP HANDS-ON LAB.</b><br><br>Take the first step in using Oracle Cloud services in your development process. In this hands-on lab take a locally developed application and use a trial Oracle Cloud Service account to deploy it to the cloud. Attendees are guided through automating the build and deployment process using Oracle Developer Cloud Service and Oracle Application Container Cloud.Lab Requirements may be found here: https://static.rainfocus.com/oracle/oow17/ses/Attendee_BYOL_lab_Set_Ups_OOW17.pdf
1493549838291001fzfT;Java EE 7 with Apache Spark for the World’s Largest Credit Card Core Systems;Financial industry companies need Java EE for powering their business today. Rakuten Card, one of the largest credit card companies in Japan, adopted Java EE 7 for its credit card core systems rearchitecture from one of the oldest COBOL-based mainframes in Japan. Additionally, it chose Apache Spark as a superrapid batch execution platform. The company completed this big core system migration project successfully. In this session, you’ll learn why it chose Java EE and Apache Spark and hear about its experiences and lessons learned. How do you start such a big project? Why did the company choose it, how did it do the porting, how did it use Apache Spark for performance improvements, and how did the launch go? The presentation answers these questions and any others you may have.;Hirofumi Iwasaki;Java, Cloud, and Server-Side Development;Conference Session;Advanced;Financial industry companies need Java EE for powering their business today. Rakuten Card, one of the largest credit card companies in Japan, adopted Java EE 7 for its credit card core systems rearchitecture from one of the oldest COBOL-based mainframes in Japan. Additionally, it chose Apache Spark as a superrapid batch execution platform. The company completed this big core system migration project successfully. In this session, you’ll learn why it chose Java EE and Apache Spark and hear about its experiences and lessons learned. How do you start such a big project? Why did the company choose it, how did it do the porting, how did it use Apache Spark for performance improvements, and how did the launch go? The presentation answers these questions and any others you may have.
1493085416573001XHMc;Java, Machine Learning, and Healthcare: How Developers Can Make a Difference;Recent innovations in machine learning (ML) have enabled significant strides in healthcare. Java developers now have access to a variety of powerful ML engines and a large group of frameworks for visual and pattern recognition. These tools enable Java developers to use ML techniques such as visual recognition (VisRec) to detect patterns in x-rays and MRIs faster than ever. This session covers these specific tools and trends, with real-life examples of Java in healthcare. It also discusses JSR 381, a pending Java standard for VisRec. With JSR 381, Java developers have a set of standard, abstract APIs that work across the various ML engines.;Frank Greco;Java and Devices;Conference Session;Intermediate;Recent innovations in machine learning (ML) have enabled significant strides in healthcare. Java developers now have access to a variety of powerful ML engines and a large group of frameworks for visual and pattern recognition. These tools enable Java developers to use ML techniques such as visual recognition (VisRec) to detect patterns in x-rays and MRIs faster than ever. This session covers these specific tools and trends, with real-life examples of Java in healthcare. It also discusses JSR 381, a pending Java standard for VisRec. With JSR 381, Java developers have a set of standard, abstract APIs that work across the various ML engines.
1493066499488001boff;JUnit5: Features, Architecture, and Extensibility—Part 2;The JUnit 5 project updates the de facto standard in Java testing tools to make the best use of the modern features of Java 8 and  focus on consistent extensibility. Last year’s session described the team’s progress with the release of test parameters and dynamic test generation. Two more milestones add JUnit 4 interoperability, test templates, and parameterized tests. The GA release will add scenario tests as well as Java 9 support. Modularity and extensibility are key facets of the reimagined test framework. After introducing JUnit5, this session presents demonstrations including how to run JUnit5 tests, how to write JUnit5 tests, and how to write extensions to alter the default test engine behavior. No familiarity with automated testing is assumed.;Steve Moyer;Java Development Tools;Conference Session;Intermediate;The JUnit 5 project updates the de facto standard in Java testing tools to make the best use of the modern features of Java 8 and  focus on consistent extensibility. Last year’s session described the team’s progress with the release of test parameters and dynamic test generation. Two more milestones add JUnit 4 interoperability, test templates, and parameterized tests. The GA release will add scenario tests as well as Java 9 support. Modularity and extensibility are key facets of the reimagined test framework. After introducing JUnit5, this session presents demonstrations including how to run JUnit5 tests, how to write JUnit5 tests, and how to write extensions to alter the default test engine behavior. No familiarity with automated testing is assumed.
1493318889875001w3rb;The Top 10 Dos and Don'ts of JSON Processing in a Database;JSON is a popular format because of schema flexibility and easy mapping to programming languages.APIs that consume or generate JSON are typically forgiving when dealing with missing or redundant fields. But all that changes when JSON gets written to disk and large amounts of JSON need to be queried,  indexed, or joined. Preserving the benefits of JSON while guaranteeing high query performance is crucial when persisting  JSON in a database (whether NoSQL, ObjectStores, or relational). This session presents common mistakes, tips, and tricks acquired from hundreds of customers over the last 10+ years. It covers size considerations, indexing strategies, and good choices for data types—especially for those unknown to JSON, such as dates.;Beda Hammerschmidt;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;Conference Session;Advanced;JSON is a popular format because of schema flexibility and easy mapping to programming languages.APIs that consume or generate JSON are typically forgiving when dealing with missing or redundant fields. But all that changes when JSON gets written to disk and large amounts of JSON need to be queried,  indexed, or joined. Preserving the benefits of JSON while guaranteeing high query performance is crucial when persisting  JSON in a database (whether NoSQL, ObjectStores, or relational). This session presents common mistakes, tips, and tricks acquired from hundreds of customers over the last 10+ years. It covers size considerations, indexing strategies, and good choices for data types—especially for those unknown to JSON, such as dates.
1493075051652001XLes;Three Microservice Patterns to Tear Down Your Monoliths;Do you think switching to a microservice-oriented architecture is easier said than done? You are not alone. Many organizations today struggle with tightly coupled software and unmaintainable monoliths, but migrating a decade-old codebase is both expensive and tiresome. This session shows you how you can start developing microservices for an existing infrastructure today, using a combination of top-notch technologies, including Speedment and others. You’ll see the magic triangle of event sourcing, command-query responsibility segregation (CQRS), and materialized views and learn why these concepts will change the way you look at scalable software development forever, whether you’re working with servers or with apps. ;Per-Ake Minborg;Java, Cloud, and Server-Side Development;Conference Session;Intermediate;Do you think switching to a microservice-oriented architecture is easier said than done? You are not alone. Many organizations today struggle with tightly coupled software and unmaintainable monoliths, but migrating a decade-old codebase is both expensive and tiresome. This session shows you how you can start developing microservices for an existing infrastructure today, using a combination of top-notch technologies, including Speedment and others. You’ll see the magic triangle of event sourcing, command-query responsibility segregation (CQRS), and materialized views and learn why these concepts will change the way you look at scalable software development forever, whether you’re working with servers or with apps. 
1493071692263001bVeJ;Transforming IoT with Voice UI,  Java, AI, and the Cloud;“This morning I had a conversation on politics with my vacuum-cleaner robot.” This session’s speaker, an entrepreneur and developer advocate, demonstrates the power of voice UI, mobile, and cognitive services from the cloud platform to securely connect and manage devices, analyze social network data, and apply cognitive services to add humanlike interaction to lightweight IoT products. He shows how you can quickly and securely turn a simple idea into reality by transforming a regular robot vacuum into a cognitive-enabled smart and chatty device that could be turned into a media information center with an opinion on virtually any subject, based on digestion of social network sentiment with cognitive services. ;Marek Sadowski;Java and Devices;Conference Session;Intermediate;“This morning I had a conversation on politics with my vacuum-cleaner robot.” This session’s speaker, an entrepreneur and developer advocate, demonstrates the power of voice UI, mobile, and cognitive services from the cloud platform to securely connect and manage devices, analyze social network data, and apply cognitive services to add humanlike interaction to lightweight IoT products. He shows how you can quickly and securely turn a simple idea into reality by transforming a regular robot vacuum into a cognitive-enabled smart and chatty device that could be turned into a media information center with an opinion on virtually any subject, based on digestion of social network sentiment with cognitive services. 
14931955145190010Yoc;Tuning G1 for Real-World Applications;G1 is going to become the default garbage collector for Java 9. For several use cases, G1 will give good pause time, throughput, and heap size performance. However, as with any one-size-fits-all algorithm, there are, of course, use cases where extra tuning is required, along with a deep understanding of how the internals of G1 work. In this session, the Diabolical Developer and Kirk Pepperdine take you through several real-world G1 tuning scenarios they went through on behalf of some of the world’s most complex JVM applications from leading ecommerce sites, banks, and deep tech organizations. Leave this session knowing how to tackle the common tuning scenarios for your app under G1.;Kirk Pepperdine;Core Java Platform;Conference Session;Intermediate;G1 is going to become the default garbage collector for Java 9. For several use cases, G1 will give good pause time, throughput, and heap size performance. However, as with any one-size-fits-all algorithm, there are, of course, use cases where extra tuning is required, along with a deep understanding of how the internals of G1 work. In this session, the Diabolical Developer and Kirk Pepperdine take you through several real-world G1 tuning scenarios they went through on behalf of some of the world’s most complex JVM applications from leading ecommerce sites, banks, and deep tech organizations. Leave this session knowing how to tackle the common tuning scenarios for your app under G1.
1493063597635001TwRo;Asynchronous API with CompletableFuture: Performance Tips and Tricks;Since Java 8, CompletableFuture has enabled asynchronous, future-based programming in Java and is one of the most powerful features suitable for creating asynchronous APIs.This presentation, based on real project experience, goes beyond the CompletableFuture public API. It reveals internal details and shows who stands to benefit from it for better performance. ;Sergey Kuksenko;Core Java Platform;Conference Session;Advanced;Since Java 8, CompletableFuture has enabled asynchronous, future-based programming in Java and is one of the most powerful features suitable for creating asynchronous APIs.This presentation, based on real project experience, goes beyond the CompletableFuture public API. It reveals internal details and shows who stands to benefit from it for better performance. 
1493060075702001Abak;Enterprise Cross-Platform Mobile Applications with Gluon;Enterprises’ demand for mobile apps is growing exponentially, and the strategy is changing to cloud-first, mobile-first. Mobile platforms require a new portfolio of architectures, tools, and IDEs and improved access to enterprise data, back ends, and cloud services to stay agile and competitive. This session explains and demonstrates how you can leverage your Java skills and use NetBeans to build applications with one cross-platform Java API and deploy to mobile platforms, with compelling UI, native services integration, and seamless connection with the cloud and enterprise back end. You can benefit from improved security and common mobile features such as push notifications, authentication, data synchronization, or persistence, among others.;José Pereda;Developer Community Day: NetBeans;Conference Session;Introductory;Enterprises’ demand for mobile apps is growing exponentially, and the strategy is changing to cloud-first, mobile-first. Mobile platforms require a new portfolio of architectures, tools, and IDEs and improved access to enterprise data, back ends, and cloud services to stay agile and competitive. This session explains and demonstrates how you can leverage your Java skills and use NetBeans to build applications with one cross-platform Java API and deploy to mobile platforms, with compelling UI, native services integration, and seamless connection with the cloud and enterprise back end. You can benefit from improved security and common mobile features such as push notifications, authentication, data synchronization, or persistence, among others.
1493271659656001T9HN;G1GC Concepts and Performance Tuning;This session illustrates how to tune G1 performance production workloads and how G1 ergonomics work so the audience understands the reasoning behind the tuning suggestions. The presentation uses GC logs and JFR recordings to show how to improve application performance with G1 GC.;Erik Helin;Core Java Platform;Conference Session;Introductory;This session illustrates how to tune G1 performance production workloads and how G1 ergonomics work so the audience understands the reasoning behind the tuning suggestions. The presentation uses GC logs and JFR recordings to show how to improve application performance with G1 GC.
1493058721733001bMvg;Ground Systems for the NASA James Webb Space Telescope Using the Java Platform;The modern Java technology stack is an software platform that is attractive to space-mission-operations-oriented customers such as NASA and the US Air Force. These use cases have extended computing and visualization requirements for which desktop applications built on the vast Java ecosystem provide a cost-effective solution. This session discusses the NASA James Webb Space Telescope Flight Dynamics Ground System. It covers implementation patterns used and how they are beneficial to enterprise development and mission-critical operational workflows. Examples provided include automated space mission simulation tools such as FreeFlyer, custom visualizations built in JavaFX, and NoSQL data persistence over MongoDB with JPA/Morphia.;Geertjan Wielenga;Java Clients and User Interfaces;Conference Session;Intermediate;The modern Java technology stack is an software platform that is attractive to space-mission-operations-oriented customers such as NASA and the US Air Force. These use cases have extended computing and visualization requirements for which desktop applications built on the vast Java ecosystem provide a cost-effective solution. This session discusses the NASA James Webb Space Telescope Flight Dynamics Ground System. It covers implementation patterns used and how they are beneficial to enterprise development and mission-critical operational workflows. Examples provided include automated space mission simulation tools such as FreeFlyer, custom visualizations built in JavaFX, and NoSQL data persistence over MongoDB with JPA/Morphia.
1493298714409001DyGD;Making the JDK More Secure;In today’s internet-connected world, Java applications are increasingly under attack. Over time cryptographic algorithms and security protocols become weaker and need to be replaced or enhanced with stronger alternatives. In this session, find out how Oracle is continuously making the JDK more secure by adding new features that improve security and by providing a default security configuration that protects your applications from the security risks of  weak or broken cryptographic algorithms. Learn more about the new JDK 9 security features such as SHA-3, OCSP stapling, DTLS, DRBG SecureRandom, and the disabling of SHA-1 certificates.;Sean Mullan;Core Java Platform;Conference Session;Intermediate;In today’s internet-connected world, Java applications are increasingly under attack. Over time cryptographic algorithms and security protocols become weaker and need to be replaced or enhanced with stronger alternatives. In this session, find out how Oracle is continuously making the JDK more secure by adding new features that improve security and by providing a default security configuration that protects your applications from the security risks of  weak or broken cryptographic algorithms. Learn more about the new JDK 9 security features such as SHA-3, OCSP stapling, DTLS, DRBG SecureRandom, and the disabling of SHA-1 certificates.
1493541586641001sWBb;Streams in JDK 8: The Good, the Bad, and the Ugly;The Streams API, combined with lambda expressions, both introduced in JDK 8, provide a way for developers to use a functional style of programming for the first time in Java. As with all powerful features such as these, it is easy to abuse them and produce code that is difficult to read and hard to maintain. This session presents examples of streams to discuss whether the code is good, bad, or ugly and discusses ways the code could be changed. At the end of the session, you will have learned some new ways to use streams and lambdas—and some ways not to!;Stuart Marks;Core Java Platform;Conference Session;Intermediate;The Streams API, combined with lambda expressions, both introduced in JDK 8, provide a way for developers to use a functional style of programming for the first time in Java. As with all powerful features such as these, it is easy to abuse them and produce code that is difficult to read and hard to maintain. This session presents examples of streams to discuss whether the code is good, bad, or ugly and discusses ways the code could be changed. At the end of the session, you will have learned some new ways to use streams and lambdas—and some ways not to!
1493194980650001uaTh;The Diabolical Developer’s Guide to Surviving Java 9;Java 9 comes with a new modularity system (Jigsaw), restrictions on the use of internal libraries such as sun.misc.Unsafe, a new REPL (JShell), a change of the default garbage collector to G1, and much more. All of this combined means that Java 9 is potentially the most groundbreaking release since Java 5 introduced generics. In this session, the Diabolical Developer presents a pragmatic guide to migrating your apps to Java 9 and how to avoid the common pitfalls. He covers how to still gain access to those restricted internal libraries, how to deal with the performance impact of moving to G1, how to split your app to use both the classpath approach and the new modularization approach, and more.Leave this session with the confidence to move to Java 9!;Martijn Verburg;Core Java Platform;Conference Session;Intermediate;Java 9 comes with a new modularity system (Jigsaw), restrictions on the use of internal libraries such as sun.misc.Unsafe, a new REPL (JShell), a change of the default garbage collector to G1, and much more. All of this combined means that Java 9 is potentially the most groundbreaking release since Java 5 introduced generics. In this session, the Diabolical Developer presents a pragmatic guide to migrating your apps to Java 9 and how to avoid the common pitfalls. He covers how to still gain access to those restricted internal libraries, how to deal with the performance impact of moving to G1, how to split your app to use both the classpath approach and the new modularization approach, and more.Leave this session with the confidence to move to Java 9!
1493105420186001KISK;Breaking up the Monolith with Jigsaw: An Architect’s View;This session shows how to break up a monolithic application into Jigsaw modules by using NetBeans and Jdeps. You will learn how to analyze and refactor a monolithic example codebase into service-oriented Jigsaw modules. ;Sven Reimers;Developer Community Day: NetBeans;Conference Session;Intermediate;This session shows how to break up a monolithic application into Jigsaw modules by using NetBeans and Jdeps. You will learn how to analyze and refactor a monolithic example codebase into service-oriented Jigsaw modules. 
1493075602649001AVvm;Bridging the Gap Between Database and Stream;Whenever you write code that mixes languages and domains, such as Java and SQL, you are going to get bugs. A solution is to move away from query languages such as SQL and instead write your business logic with the type-safe and object-oriented constructs we have learned to love in Java, such as streams, predicates, and functions. In this session, you will rediscover the power of the Stream interface in a completely new domain: relational databases. You will also learn how nicely it blends in with your existing application, even with no modifications on the database layer. This will not only increase your productivity but also help you build safer and more maintainable Java code.;Per-Ake Minborg;Java Development Tools;Conference Session;Introductory;Whenever you write code that mixes languages and domains, such as Java and SQL, you are going to get bugs. A solution is to move away from query languages such as SQL and instead write your business logic with the type-safe and object-oriented constructs we have learned to love in Java, such as streams, predicates, and functions. In this session, you will rediscover the power of the Stream interface in a completely new domain: relational databases. You will also learn how nicely it blends in with your existing application, even with no modifications on the database layer. This will not only increase your productivity but also help you build safer and more maintainable Java code.
1493243594050001THhQ;Build, Test, and Deliver Code Faster with Containers;Is automating your development and delivery process still a pain? Tired of hearing about wonderful processes that you can never apply? Swamped with technologies and suggestions? Despondent about how little control you actually have in your company? This session covers an easy but powerful step-by-step automation process you can apply to your projects. No matter if you’re working with complex projects or simple deploys, whether you are the delivery hero or you depend on the good will of your production team, come find out how to use containers running on Oracle Cloud or on your laptop. Get your automated delivery pipeline up and running.;Bruno Souza;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;Conference Session;Intermediate;Is automating your development and delivery process still a pain? Tired of hearing about wonderful processes that you can never apply? Swamped with technologies and suggestions? Despondent about how little control you actually have in your company? This session covers an easy but powerful step-by-step automation process you can apply to your projects. No matter if you’re working with complex projects or simple deploys, whether you are the delivery hero or you depend on the good will of your production team, come find out how to use containers running on Oracle Cloud or on your laptop. Get your automated delivery pipeline up and running.
1493072089852001TgWz;Continuous Code Quality with SonarQube and SonarLint;It is a pretty common practice to use static analysis during the development process to check on quality, but what are we looking for exactly and what do we do with the findings?This presentation explains the benefits of continuous code quality, which mechanically improves quality and sets very clear rules on the level of code expected from developers. It also demonstrates open source SonarLint and SonarQube to show how to use them to implement such a practice.;Olivier Gaudin;Java Development Tools;Conference Session;Intermediate;It is a pretty common practice to use static analysis during the development process to check on quality, but what are we looking for exactly and what do we do with the findings?This presentation explains the benefits of continuous code quality, which mechanically improves quality and sets very clear rules on the level of code expected from developers. It also demonstrates open source SonarLint and SonarQube to show how to use them to implement such a practice.
1493064743215001AwZO;Fun Things to Do with Nashorn in Java 9;With several of Java 9’s big features in the spotlight, it’s easy to overlook that Nashorn has also gotten some upgrades, big and small. Its own shell, jjs, has been seriously upgraded, with in-editor document browsing and code completion. It supports a much larger subset of ES6 than Nashorn in Java 8 does. It comes with a parser API that enablesyou to use Java to write tools for analysis and transformation of JavaScript source code, something that’s often needed in today’s world. It also has Dynalink—another library new to Java 9—underneath it, which enables the language itself to be extended and even integrated with other languages. This presentation demonstrates the uses to which you can put these new goodies in Nashorn.;Attila Szegedi;Emerging Languages;Conference Session;Intermediate;With several of Java 9’s big features in the spotlight, it’s easy to overlook that Nashorn has also gotten some upgrades, big and small. Its own shell, jjs, has been seriously upgraded, with in-editor document browsing and code completion. It supports a much larger subset of ES6 than Nashorn in Java 8 does. It comes with a parser API that enablesyou to use Java to write tools for analysis and transformation of JavaScript source code, something that’s often needed in today’s world. It also has Dynalink—another library new to Java 9—underneath it, which enables the language itself to be extended and even integrated with other languages. This presentation demonstrates the uses to which you can put these new goodies in Nashorn.
1493283952943001GXSJ;How to Speed Up 150K Functional Tests in a 17-Year-Old Codebase;Last year this session’s speaker and his team rewrote а testing framework for DataGrip, the IDE for SQL, and speeded up the whole test suite severalfold. This year they’re doing almost the same for its 17-year-old sibling, IntelliJ IDEA. He describes the optimizations they have applied in all layers: from their approach to testing and settings for the virtualization and operating systems to the server for build agents and their tailor-made Git repository. In addition to faster tests, they have<br>&bull, An easy-to-use harness for local testing and development;Sergey Ignatov;Java Development Tools;Conference Session;Intermediate;Last year this session’s speaker and his team rewrote а testing framework for DataGrip, the IDE for SQL, and speeded up the whole test suite severalfold. This year they’re doing almost the same for its 17-year-old sibling, IntelliJ IDEA. He describes the optimizations they have applied in all layers: from their approach to testing and settings for the virtualization and operating systems to the server for build agents and their tailor-made Git repository. In addition to faster tests, they have<br>&bull, A robust and scalable Docker-based framework for testing the application in CI<br>&bull, A standalone service for manual testing<br>&bull, An easy-to-use harness for local testing and development
1493076220192001gVLO;Java 9: Search 9 TB in 0.9 Microseconds;Leveraging off-heap memory and memory-mapped files, Chronicle Engine and Speedment support large maps that can easily exceed the size of your server’s RAM—without having an impact on garbage collection. Because the Java maps are mapped onto files, these maps can be shared instantly between several nodes/microservices JVMs and new instances can be added, removed, or restarted very quickly. Interestingly, these tools enable Java streams to be connected directly to RAM, enabling retrieval of data with ultralow latency for a wide range of operations. Features such as column-oriented storage, in-place partial deserialization, reference compression, and stream pipeline optimization are features that further improve Stream performance.;Per-Ake Minborg;Java Development Tools;Conference Session;Advanced;Leveraging off-heap memory and memory-mapped files, Chronicle Engine and Speedment support large maps that can easily exceed the size of your server’s RAM—without having an impact on garbage collection. Because the Java maps are mapped onto files, these maps can be shared instantly between several nodes/microservices JVMs and new instances can be added, removed, or restarted very quickly. Interestingly, these tools enable Java streams to be connected directly to RAM, enabling retrieval of data with ultralow latency for a wide range of operations. Features such as column-oriented storage, in-place partial deserialization, reference compression, and stream pipeline optimization are features that further improve Stream performance.
1493322921290001OicX;Java Card: 20 Years of Security Innovation;Java Card technology, entering its 20th year of existence, is available in billions of secure devices shipped each year. Oracle and Java Card Forum are working on the next iteration of the Java Card specification, bringing significant additions to address new security form factors in mobile and IoT. This session looks back at the history of Java Card adoption and introduces key features of the upcoming Java Card 3.1 release.;Saqib Ahmad;Java and Devices;Conference Session;Intermediate;Java Card technology, entering its 20th year of existence, is available in billions of secure devices shipped each year. Oracle and Java Card Forum are working on the next iteration of the Java Card specification, bringing significant additions to address new security form factors in mobile and IoT. This session looks back at the history of Java Card adoption and introduces key features of the upcoming Java Card 3.1 release.
